label,raw
3,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAAA8klEQVR4nM2SIUzDYBCFHwSHbS2VbS3o1SOpnq4G7Bygl6CYxw5sLQkKLkHRbW6zDXND3rsfwcZY/9+ScObe5cu7e+KAf13JjdGaMoTiYatU6jzy2cBoXIjMXeNDofI9AnpUj+WrhdT56AhwrDyaRUDFY5TUwFEA5SS5aK1dTwe/SJEtp+lL7D5OA7YRjUZrBwg44eDgni/fQgeLWlbGIhgGALKxihc1/lG1nXcXyv1G9njX8U2eNvKwsS3cB4CzdLoe89fUzXaduWv6J0DSf6Bx2M0zVqpIq1Re+WHF0Wj8lJ0v2Ptu0TWqxyVuZ13bX9QXLi9y8VjngMcAAAAASUVORK5CYII="
4,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAAA4UlEQVR4nNWPIU9CURiGn8lVuMloYDL7pYqV5i+g8wdgVIqBTMNsATdNbAQdBgszsJEIjMCGm0EDAnMj3Kv3hQAoO3dns/Km7z3Pnu/bgT3NUUfL2amF1aXmRQzgJALL0nUCgOpnyWDeQl8OAOcTmbChILue7uWfGXCgFsRc101/6NY8OVCbzJMk6d0zYV7B848kSZXtm7MdUjhZus1kAXoReBPA3VtYhpeHyDc3KUq533JgwBCNbCJ9PVrZ8asu/5qxNpP6nlrNoSY7zTDj9O0QQutWxvKvrGZtfii7+v+sANNBUW3AwRsiAAAAAElFTkSuQmCC"
6,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAAA0UlEQVR4nM3OvQ7BYBgF4IPqQgiSJiKxugEDNyARDAYRF+EezIYOOpTBz2CTEGNHJovFIgZrJxYD4ucwSFNp+63inb6cJ+d7X+An41dvWZEpXbImsKRKLtLeJmmkJguKbVIXLWw92QkKLHeg7hcVDc5TIoPJitBKnPgckb2kiunLkdmYwBEAkB8ZceevsRMLAELbKzl0NqUwADSWGRmIWpmF510GkXrv83ZdO+NqT5LkWnFh8f6hR9dtgEmSz3HZTqRvHmz6vHjUAJjNgDf8z7wBKb5K7BwQoLgAAAAASUVORK5CYII="
1,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAAAh0lEQVR4nGNgGHAw+5sREo8JVfIBhypuyUcMcbglGRh+45YMZFiO0z2GP19z4tTJxvrvO07JYFSDUCUl8Uky4JFkU2S4gVOS24phD05JSQaGHTjtWP5vMzNOnc4M7//ikhRnZcRpKMPGf/88cMnJPPm3G1UrkrFiUgwL/+PSafTvEB9uO+kFACQaG6H43b9+AAAAAElFTkSuQmCC"
8,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAABD0lEQVR4nM3QsSvEcRjH8c+d8wsh3Q23G0m6Gyg3it9fYJbBZjBZGCSDYzadom7mSsp6Sec2JXeXUki3iKRTv6L3w3Bu8f2OBs/y1PfV83yf55H+eeSKZna2nPRQYvMVwDjwYB4DykZzwKnLf/K+kUl1F7nq/Y3z0BiTpD2OnKYNu0xL6lu4eXJ/rBNK8WwNO/FhRsoCp/0uXtA6328Rbfd4FhkBDBY9pNyumX1ZyUPDZQOqW49vM47NRRiV1aSy1H5bGPFSDgNJ8fWPic5rop3Gg4fZW0lSMNmV6GD8J8cO2zZ4HMbcttHOkJSauodr5+hL8FwqRRiVUWfa6VrTAOprgWdPpQuFu+qKT/46vgEAdn7Lusya8wAAAABJRU5ErkJggg=="
1,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAAAnElEQVR4nGNgGHhQd1UJp5zw438hCB4TqmS8NDIPTdKBAbekjRUeSSEhPJIMDAwvn2A6EwL2//u3E6dOLQaGDbg0Mrz8908Ol85Yfoavf3HoEzjw718TsgCyTgE7hl93cdmo+e/fc5zO2fXv3wJccqKn/+3hQRFBstPRmPH7HxZcDmL47/2tDofku08MDH+e4rI05v/5aJyupRcAAOmbKo9/IXMkAAAAAElFTkSuQmCC"
0,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAABG0lEQVR4nMXQzysEYRzH8c9aU1JOHPxKW5JylKKUi3KQC4UScdHmH7DZmrPEHyAHuTi5OW5hD6tJOWxZxVLacXHxo+Zgp+0dh52nZma58j19vs/reer7faT/rqGDr/3fbNUFV1puayRrxgdcbdTKiw2YAbhNy4a3uFrHQGVcsoGP3Ygls0C+XdLwYQ3WIjgGFIJJHgNsCmzlSHImvR+X6H+GvNlg4IX3iRAWgbRp9qAUsoUqXq43aDo9yEmSmiVJKUs3U+bmeqv8HYUH0qkJiaR0dRbFSxOmbek8POwmXNRTR6YKD6kY3vVI6ttyAUYia3Zdw73jOGWAp+2W6CfMfhKUXxxUvAqvdSvNhw4TJnQvzY1m0Uml4d3f1jf+BYdABkU+8wAAAABJRU5ErkJggg=="
9,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAAAyElEQVR4nGNgGLJAefLZ7/HYpVhj/nyv2XAMqxxb578rrgwylrYmmHLsi/9dMmJgYOB/shtTruPfRQkGBgaGlH93udElQ/49lGRgYGBgKPl3Fl1O+N5nTwYGBgYGyROYkkoQIebkO/+QJFlgDLnQbwz+YXwPu8peoOtkbPj379+/f49yWZX+VSNEYYwwf4YXq08wMDCcYzDC9CgU8D5E2MmELikqexi3pAPDa9ySQkhsDEkGvJKMl/FI/r+NTyc+Yz99xucMIgEAteA84zwxaYsAAAAASUVORK5CYII="
8,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAABK0lEQVR4nMWQPUhCYRSGH11sKjGUgtKlyWhrKoqWanWoyS0awiD6QYKmGqI5qCGIxpagxrDARqcCvRZEuTSkgg5J9KPvlw2V6b17veN5eL/znA/+OYHxnYzZX/OAz8Fmc5KRtAQJOwvlpOdCvibNYAHg/oXxUO1wpKs7mqaNR3uzpHMAxhQjZm/6XNcA3BWzuOzNY+UBBpOVxHezKcFsbSswdVWRqkMrjlOm9XVKat1v2dloSpJRMuwBO4xkjDGmPg9AttU2sN1ffzuqfLwCUG/p9Zb1FO9k15y4AZvtnh4iAKeKOkQpaBiAOd04YdGEAfDdltobwx+h+/pyH4CpeieASYDGJ65u8mKdwUJHOfgO1kDzs968jCQZXQIctC7t2UhL0sWi3yn0l/kE4aaA9cFoB+cAAAAASUVORK5CYII="
0,"iVBORw0KGgoAAAANSUhEUgAAABwAAAAcCAAAAABXZoBIAAAA90lEQVR4nM2QsUoDQRRFb0xiE9TCYhVhXbTwK+ysrLUIWFksRAgEBCXY2fgB+QBtrPwKUSwtRsgmKSXaB0TiJmexyG6S2UErC18zl3dm3rtzpf9bhWqUJEkSbZRctlCH0eADMJ4DQ4gv5LdiMMs5VryFS0k67MNaDq7Dy6Yk6dGFNYb7ExW8c1602FKPTqavYGfiMW0sbs8uRlJoQUlv7u/S80i6+REGDrHH/gY/X+favRwsZ5n5p9KdNeEYnlJ5D2d2CKtkITSHtFfs3RVD3NqStPdF28878wx0G43nAZy4vg8MAHSCqcnCjJa8cPdB1/2x+/Bv6xuV3F3/AvdhQQAAAABJRU5ErkJggg=="
